DNA (ug/uL),T7 RNAP (U/uL),Rate (mAu*s/uM),Uncertainty (mAu*s/uM)
0.029016,36.7,44.61520683,4
0.035236,32.4,42.53120068,4
0.037625,31,43.88614181,4.439611886
0.037625,13,20.61521826,4
0.056209879,18.5,40.50175359,4.158658671
0.06622,12,35.94680833,4
