DNA (ug/uL),T7 RNAP (U/uL),Rate (mAu*s/uM),Uncertainty (mAu*s/uM)
0.00305,24.0,2.486778784447372,1.3778211355496803
0.00305,6.0,0.4711028414577135,0.43480164245591574
0.0061,24.0,5.088977430662196,1.0648709699179182
0.0061,6.0,3.318180566600789,1.519025786668624
0.0122,24.0,11.205027747883923,0.768483399813762
0.0122,6.0,6.122754189694228,0.23631391706341726
0.0122,48.0,13.791123957128804,2.2325732823230893
0.0122,12.0,9.393415663412043,0.5905997458024251
0.0244,24.0,19.228810098326502,1.1619916086558242
0.0244,48.0,18.92189584778518,0.8321939816018269
0.0244,3.0,2.3763877447164132,0.338739818729574
0.0244,24.0,19.84577672424417,4.203988689326104
0.0244,48.0,15.415249761607127,0.8405310818046429
0.127,41.0,47.5683049349609,10.08922148382104
