DNA (ug/uL),T7 RNAP (U/uL),Rate (mAu*s/uM),Uncertainty (mAu*s/uM)
0.0244,24,19.88473435,NaN
0.0244,48,15.74606847,NaN
0.127,41,90.16779147,17.77913479
