DNA (ug/uL),T7 RNAP (U/uL),Rate (mAu*s/uM),Uncertainty (mAu*s/uM), Cl (mM)
0.024157,12,16.2914888,2.253128435,0
0.024157,12,5.44601307,0.084773317,50
0.024157,12,0.883460815,0.185421802,100
0.024157,12,0,0,150
0.31059,12,51.08273282,6.915225446,0
0.31059,12,30.33412259,3.90580121,50
0.31059,12,9.562273584,1.596427388,100
0.31059,12,1.998785178,0.504386457,150
