DNA (ug/uL),T7 RNAP (U/uL),Rate (mAu*s/uM),Uncertainty (mAu*s/uM)
0.0244,24.0,19.884734351624665,NaN
0.0244,48.0,15.746068469684023,NaN
0.127,41.0,90.16779147046401,17.779134790129003
