DNA (ug/uL),T7 RNAP (U/uL),Rate (mAu*s/uM),Uncertainty (mAu*s/uM)
0.0244,24.0,19.884734351624665,NaN
0.0244,48.0,15.077460254849557,NaN
0.127,41.0,20.363543663069464,NaN
