Condition #,Replicate #,P1: DNA  (µg/µL),P2: T7 RNAP (U/µL),Time (min),Mass (mg),ATP,UTP,CTP,GTP
8,2,0.31059,124,89.8,5.88,2.255980697,3.169764371,1.160143276,1.748497531
8,3,0.31059,124,0,5.95,5.562573727,5.289181771,4.797256446,5.477182809
8,3,0.31059,124,15.2,6.09,4.346089008,4.4031797,3.991479234,4.326047035
8,3,0.31059,124,30,6.04,3.615203217,3.938072242,3.071131109,3.447510879
8,3,0.31059,124,45.06666667,5.94,3.304616622,3.813013982,2.515803558,2.802535569
8,3,0.31059,124,60.1,5.98,2.356466488,3.247591921,1.611002635,2.188902362
8,3,0.31059,124,75,5.94,2.183305094,3.11375971,1.24768953,1.781622256
8,3,0.31059,124,90.06666667,5.93,2.147423056,3.034513206,1.210868832,1.45546668
9,1,0.024157,125,0,5.94,4.876374263,4.53703392,4.754070039,5.073232289
9,1,0.024157,125,14.91666667,5.84,4.757527078,4.610006473,4.404780202,4.436862074
9,1,0.024157,125,29.88333333,6.02,4.263588204,4.40542465,3.819928362,4.033202953
9,1,0.024157,125,44.91666667,5.93,3.716661662,3.899174003,3.219428673,3.600392119
9,1,0.024157,125,60.05,5.95,3.434304558,3.789858881,2.938957402,3.18158412
9,1,0.024157,125,89.95,5.89,2.806487936,3.670837649,1.957006601,2.731434997
9,1,0.024157,125,120.0833333,6.03,2.534020375,3.351000777,1.654395074,2.198987924
9,1,0.024157,125,239.7666667,5.98,1.630169437,2.664119627,0.528659306,1.137083068
9,2,0.024157,125,0,5.95,5.88881888,5.644171535,5.680237425,5.899065278
9,2,0.024157,125,29.91666667,5.88,4.712677568,5.014629922,4.317000031,4.666516637
9,2,0.024157,125,59.98333333,5.95,4.282409611,4.820558037,3.627584629,4.15579172
9,2,0.024157,125,89.95,6.01,3.547714522,4.328600096,2.737243021,3.22984506
9,2,0.024157,125,120.5,5.95,3.262199013,4.358809704,2.196049093,2.879351791
9,3,0.024157,125,0,5.9,5.356321091,5.129650196,5.680237425,5.38696571
9,3,0.024157,125,29.88333333,5.96,4.603910624,4.966864133,4.211264105,4.78098349
9,3,0.024157,125,60.03333333,5.88,3.652162201,4.188062676,3.021374471,3.503391415
9,3,0.024157,125,90.11666667,5.85,3.063228605,3.839459831,2.220209602,2.815203454
9,3,0.024157,125,119.7833333,5.88,2.856129898,3.812979177,1.953228429,2.381727203
10,1,0.31059,126,0,5.93,4.97757319,4.719993527,4.738108404,4.983965188
10,1,0.31059,126,10,5.96,3.498455764,3.883168048,2.671151239,3.121665281
10,1,0.31059,126,19.93333333,5.91,2.257820912,3.236724495,1.157259998,1.848819244
10,1,0.31059,126,29.86666667,5.89,1.824639142,3.05992232,0.513378526,1.270526573
10,2,0.31059,126,0,5.96,5.068265845,4.86398598,5.151137354,5.39891999
10,2,0.31059,126,9.916666667,5.88,3.684843193,4.036688887,2.789016601,3.316209296
10,2,0.31059,126,20.31666667,6.01,2.486086237,3.481080338,1.257523727,2.136514097
10,2,0.31059,126,29.78333333,5.81,1.934179151,3.100120954,0.562479364,1.325238506
10,2,0.31059,126,39.85,5.81,1.505585709,2.854804481,0.179958574,0.866016764
10,3,0.31059,126,0,5.87,5.896450646,5.734404508,5.151137354,5.587687071
10,3,0.31059,126,10.11666667,5.81,3.446784807,4.072463748,2.928280211,3.237593091
10,3,0.31059,126,20.01666667,5.95,2.579863596,3.904091815,1.421256994,2.168438913
10,3,0.31059,126,30.05,5.51,2.340218589,4.290582091,0.59142919,1.623367031
11,1,0.31059,127,0,5.9,5.348471307,5.261735963,5.154159582,5.221744475
11,1,0.31059,127,29.81666667,5.97,5.242016951,5.175306165,4.971502767,5.155985776
11,1,0.31059,127,60.1,5.92,4.794977599,5.032566834,4.449740625,4.836460249
11,1,0.31059,127,89.71666667,5.98,4.791448221,5.155996151,4.286803722,4.915617983
11,1,0.31059,127,120,5.84,4.925918443,5.231603326,4.414301172,5.357832868
11,1,0.31059,127,180.15,5.72,4.12061182,4.636808467,3.660757412,4.074657861
11,1,0.31059,127,240.1333333,5.86,4.154081557,4.459371864,3.442086129,3.696322073
11,1,0.31059,127,359.85,5.94,3.265685016,3.948185004,2.58811389,6.645818644
11,2,0.31059,127,0,5.97,5.941493594,5.655865576,5.694755,5.929505715
11,2,0.31059,127,60.23333333,5.95,5.113599863,5.082017731,4.84597768,5.251131318
11,2,0.31059,127,120.8166667,5.89,3.955994635,4.309111401,3.600429097,3.972513081
11,2,0.31059,127,179.8833333,5.94,3.199611905,4.05986805,2.756569697,3.118120396
11,2,0.31059,127,239.9666667,5.82,3.005659333,4.186761047,2.52890098,2.96811176
11,2,0.31059,127,299.95,5.9,2.80663756,4.212050031,2.333397224,2.701143002
11,2,0.31059,127,359.8166667,6.3,2.585796878,4.002344856,1.974623922,2.625532131
11,3,0.31059,127,0,5.98,5.396560797,5.220160814,5.694755,5.597974092
11,3,0.31059,127,59.98333333,6.02,5.392962931,5.451043915,5.003132284,5.308540513
11,3,0.31059,127,120.2833333,5.88,4.410350712,4.865706824,4.056350202,4.210448565
11,3,0.31059,127,180.2666667,5.99,3.742808549,4.345176277,3.118990942,3.602141732
11,3,0.31059,127,240.15,5.93,3.596871272,4.46512817,2.718929112,3.262069596
11,3,0.31059,127,300.4666667,5.94,2.869956339,3.817479211,2.039535042,2.578373381
11,3,0.31059,127,356.9333333,5.87,2.509618469,3.566154903,1.585110211,2.192385065
