DNA (ug/uL),T7 RNAP (U/uL),Rate (mAu*s/uM),Uncertainty (mAu*s/uM)
0.0351,42.6,24.15332071668088,8.527414102445178
0.131,6.0,19.324987412600407,1.2747257688588378
