Fractional Conversion,dsRNA fraction,Stdev FC,Stdev dsRNA
0.273262792,0.1182862,0.042783399,0.050805927
0.624784947,0.104729778,0.083658069,0.055701619
0.840913272,0.092555325,0.065113995,0.025172074
